Item Code,TargetSec
AAA2270760200,900
AAA2432640000,900
AAA2432620000,900
AAA2432610000,900
AAA2432600000,900
AAA2432580000,900
AAA2432570000,900
AAA2432560000,900
AAA2432550000,900
AAA2415330000,900
AAA2287550000,900
AAA2415280000,900
AAA2287540000,900
AAA2415250000,900
AAA2287530000,900
AAA2415230000,900
AAA2287520000,900
AAA2415220000,900
AAA2270720000,900
AAA2415210000,900
AAA2270710000,900
AAA2415200000,900
AAA2270700000,900
AAA2415170000,900
AAA2270680000,900
AAA2287590200,900
AAA2287590100,900
AAA2287580200,900
AAA2287580100,900
AAA2287570200,900
AAA2287570100,900
AAA2287560200,900
AAA2287560100,900
AAA2270760100,900
AAA2270750200,900
AAA2270750100,900
AAA2270740200,900
AAA2270740100,900
AAA2270730200,900
AAA2270730100,900
